2025-10-23 13:48:33,370 - INFO - Loading books from ../../data/processed/sample_50_books.csv
2025-10-23 13:48:33,378 - INFO - Robust automated searcher initialized
2025-10-23 13:48:33,378 - INFO - Starting robust automated search for 2 books
2025-10-23 13:49:08,309 - INFO - Searching: An Excellent conceited Tragedie of Romeo and Juliet by William Shakespeare (strategy 5, attempt 1, URL: https://annas-archive.li)
2025-10-23 13:49:08,355 - INFO - Searching: An Excellent conceited Tragedie of Romeo and Juliet by William Shakespeare (strategy 5, attempt 1, URL: https://annas-archive.net)
2025-10-23 13:49:10,942 - INFO - Searching: An Excellent conceited Tragedie of Romeo and Juliet by William Shakespeare (strategy 5, attempt 2, URL: https://annas-archive.org)
2025-10-23 13:49:10,994 - INFO - Searching: An Excellent conceited Tragedie of Romeo and Juliet by William Shakespeare (strategy 5, attempt 2, URL: https://annas-archive.li)
2025-10-23 13:49:11,043 - INFO - Searching: An Excellent conceited Tragedie of Romeo and Juliet by William Shakespeare (strategy 5, attempt 2, URL: https://annas-archive.net)
2025-10-23 13:49:14,192 - INFO - Searching: An Excellent conceited Tragedie of Romeo and Juliet by William Shakespeare (strategy 5, attempt 3, URL: https://annas-archive.org)
2025-10-23 13:49:14,241 - INFO - Searching: An Excellent conceited Tragedie of Romeo and Juliet by William Shakespeare (strategy 5, attempt 3, URL: https://annas-archive.li)
2025-10-23 13:49:14,282 - INFO - Searching: An Excellent conceited Tragedie of Romeo and Juliet by William Shakespeare (strategy 5, attempt 3, URL: https://annas-archive.net)
2025-10-23 13:49:14,393 - INFO - Not found: An Excellent conceited Tragedie of Romeo and Juliet by William Shakespeare
2025-10-23 13:49:14,394 - INFO - Processing book 2/2
2025-10-23 13:49:15,771 - INFO - Searching: Fifty Shades Darker by E.L. James (strategy 1, attempt 1, URL: https://annas-archive.org)
2025-10-23 13:49:15,819 - INFO - Searching: Fifty Shades Darker by E.L. James (strategy 1, attempt 1, URL: https://annas-archive.li)
2025-10-23 13:49:15,863 - INFO - Searching: Fifty Shades Darker by E.L. James (strategy 1, attempt 1, URL: https://annas-archive.net)
2025-10-23 13:49:18,825 - INFO - Searching: Fifty Shades Darker by E.L. James (strategy 1, attempt 2, URL: https://annas-archive.org)
2025-10-23 13:49:18,867 - INFO - Searching: Fifty Shades Darker by E.L. James (strategy 1, attempt 2, URL: https://annas-archive.li)
2025-10-23 13:49:18,914 - INFO - Searching: Fifty Shades Darker by E.L. James (strategy 1, attempt 2, URL: https://annas-archive.net)
2025-10-23 13:49:22,854 - INFO - Searching: Fifty Shades Darker by E.L. James (strategy 1, attempt 3, URL: https://annas-archive.org)
2025-10-23 13:49:22,914 - INFO - Searching: Fifty Shades Darker by E.L. James (strategy 1, attempt 3, URL: https://annas-archive.li)
2025-10-23 13:49:22,973 - INFO - Searching: Fifty Shades Darker by E.L. James (strategy 1, attempt 3, URL: https://annas-archive.net)
2025-10-23 13:49:24,631 - INFO - Searching: Fifty Shades Darker by E.L. James (strategy 2, attempt 1, URL: https://annas-archive.org)
2025-10-23 13:49:24,687 - INFO - Searching: Fifty Shades Darker by E.L. James (strategy 2, attempt 1, URL: https://annas-archive.li)
